class,age
aris,21
aris,21
aris,21
aris,21
aris,21
aris,21
aris,21
aris,22
aris,22
aris,22
aris,22
aris,22
aris,22
aris,22
aris,22
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,23
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,24
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,25
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,26
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,27
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,28
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,29
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,30
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,31
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,32
aris,33
aris,33
aris,33
aris,33
aris,33
aris,33
aris,33
aris,33
aris,33
aris,33
