party,post_id,shares,likes,total_interactions,ad_group
AfD,540404695989874_2439949619368696,708,6109,7380,not sponsored
AfD,540404695989874_2438363652860626,1278,3468,5919,not sponsored
AfD,540404695989874_2444971565533168,2630,1021,7453,not sponsored
AfD,540404695989874_2441894709174187,2539,2034,6753,not sponsored
AfD,540404695989874_2444885268875131,2751,843,8789,not sponsored
AfD,540404695989874_2445023578861300,1384,1184,4936,not sponsored
AfD,540404695989874_2445092868854371,2031,1335,11010,not sponsored
AfD,540404695989874_2444964975533827,746,866,3879,not sponsored
AfD,540404695989874_2441359295894395,2448,2314,7233,not sponsored
AfD,540404695989874_2436323529731305,1279,10682,14321,not sponsored
AfD,540404695989874_2437912192905772,853,10331,12311,not sponsored
AfD,540404695989874_2437697532927238,332,5417,6356,not sponsored
AfD,540404695989874_2438563036174021,1771,14830,18794,not sponsored
AfD,540404695989874_2439566679406990,1245,4326,6307,not sponsored
AfD,540404695989874_2441636242533367,2508,1123,8536,not sponsored
AfD,540404695989874_2439469916083333,1502,5786,8687,not sponsored
AfD,540404695989874_2436536696376655,111,944,1272,not sponsored
AfD,540404695989874_2437963742900617,99,514,698,not sponsored
AfD,540404695989874_2433295250034133,407,5303,6248,not sponsored
AfD,540404695989874_2441463722550619,5317,2023,14283,not sponsored
AfD,540404695989874_2432822823414709,195,1072,1405,not sponsored
AfD,540404695989874_2437848092912182,4275,1209,12778,not sponsored
AfD,540404695989874_2435934966436828,434,4561,5690,not sponsored
AfD,540404695989874_2433194950044163,587,1442,2229,not sponsored
AfD,540404695989874_2424152907615034,442,1714,2517,not sponsored
AfD,540404695989874_2432711343425857,3831,29526,39568,not sponsored
AfD,540404695989874_2356771211019871,802,1937,2998,not sponsored
AfD,540404695989874_2433266460037012,1275,2780,4823,not sponsored
AfD,540404695989874_2418475694849422,2008,7022,9777,not sponsored
AfD,540404695989874_312979632961765,593,2567,6640,not sponsored
AfD,540404695989874_2427308057299519,2144,1449,5792,not sponsored
AfD,540404695989874_2430640003632991,2305,3801,8600,not sponsored
AfD,540404695989874_2353174908046168,1033,2498,3793,not sponsored
