Religion,Cohort,Residence,Gender,Membership
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Male,Yes
Protestant,Empire,Rural,Female,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
Catholic,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Male,Yes
None,Empire,Rural,Female,Yes
None,Empire,Rural,Female,Yes
None,Empire,Rural,Female,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
Protestant,Late Empire,Rural,Male,Yes
