jahr,dauer,besucher_gesamt,besucher_tag
1985,16,7.1,444
1986,16,6.7,419
1987,16,6.5,406
1988,16,5.7,356
1989,16,6.2,388
1990,16,6.7,419
1991,16,6.4,400
1992,16,5.9,369
1993,16,6.5,406
1994,16,6.6,413
1995,16,6.7,419
1996,16,6.9,431
1997,16,6.4,400
1998,16,6.5,406
1999,16,6.5,406
2000,18,6.9,383
2001,16,5.5,344
2002,16,5.9,369
2003,16,6.3,394
2004,16,5.9,369
2005,17,6.1,359
2006,18,6.5,361
2007,16,6.2,388
2008,16,6.0,375
2009,16,5.7,356
2010,17,6.4,376
2011,17,6.9,406
2012,16,6.4,400
2013,16,6.4,400
2014,16,6.3,394
2015,16,5.9,369
2016,17,5.6,329
2017,18,6.2,344
2018,16,6.3,394
